area,start_time,end_time,visitor_count
exhibition hall,27180,27239,2
exhibition hall,27240,27299,2
exhibition hall,28320,28379,4
exhibition hall,28380,28439,6
exhibition hall,28440,28499,6
exhibition hall,28500,28559,6
exhibition hall,28560,28619,6
exhibition hall,28620,28679,6
exhibition hall,28680,28739,6
exhibition hall,28740,28799,6
exhibition hall,28800,28859,6
exhibition hall,28860,28919,6
exhibition hall,28920,28979,6
exhibition hall,28980,29039,6
exhibition hall,29040,29099,8
exhibition hall,29100,29159,10
exhibition hall,29160,29219,12
exhibition hall,29220,29279,21
exhibition hall,29280,29339,37
exhibition hall,29340,29399,54
exhibition hall,29400,29459,70
exhibition hall,29460,29519,91
exhibition hall,29520,29579,117
exhibition hall,29580,29639,136
exhibition hall,29640,29699,163
exhibition hall,29700,29759,181
exhibition hall,29760,29819,200
exhibition hall,29820,29879,223
exhibition hall,29880,29939,251
exhibition hall,29940,29999,275
exhibition hall,30000,30059,310
exhibition hall,30060,30119,342
exhibition hall,30120,30179,363
exhibition hall,30180,30239,388
exhibition hall,30240,30299,415
exhibition hall,30300,30359,435
exhibition hall,30360,30419,454
exhibition hall,30420,30479,488
exhibition hall,30480,30539,514
exhibition hall,30540,30599,526
exhibition hall,30600,30659,499
exhibition hall,30660,30719,387
exhibition hall,30720,30779,262
exhibition hall,30780,30839,135
exhibition hall,30840,30899,91
exhibition hall,30900,30959,90
exhibition hall,30960,31019,91
exhibition hall,31020,31079,91
exhibition hall,31080,31139,90
exhibition hall,31140,31199,91
exhibition hall,31200,31259,93
exhibition hall,31260,31319,93
exhibition hall,31320,31379,96
exhibition hall,31380,31439,97
exhibition hall,31440,31499,95
exhibition hall,31500,31559,96
exhibition hall,31560,31619,100
exhibition hall,31620,31679,106
exhibition hall,31680,31739,111
exhibition hall,31740,31799,111
exhibition hall,31800,31859,116
exhibition hall,31860,31919,123
exhibition hall,31920,31979,127
exhibition hall,31980,32039,136
exhibition hall,32040,32099,142
exhibition hall,32100,32159,149
exhibition hall,32160,32219,164
exhibition hall,32220,32279,188
exhibition hall,32280,32339,202
exhibition hall,32340,32399,230
exhibition hall,32400,32459,237
exhibition hall,32460,32519,147
exhibition hall,32520,32579,120
exhibition hall,32580,32639,114
exhibition hall,32640,32699,100
exhibition hall,32700,32759,79
exhibition hall,32760,32819,66
exhibition hall,32820,32879,59
exhibition hall,32880,32939,57
exhibition hall,32940,32999,56
exhibition hall,33000,33059,55
exhibition hall,33060,33119,54
exhibition hall,33120,33179,54
exhibition hall,33180,33239,54
