area,start_time,end_time,visitor_count
exhibition hall,28920,28979,1
exhibition hall,28980,29039,1
exhibition hall,30840,30899,1
exhibition hall,30900,30959,5
exhibition hall,30960,31019,10
exhibition hall,31020,31079,19
exhibition hall,31080,31139,30
exhibition hall,31140,31199,50
exhibition hall,31200,31259,69
exhibition hall,31260,31319,98
exhibition hall,31320,31379,119
exhibition hall,31380,31439,140
exhibition hall,31440,31499,166
exhibition hall,31500,31559,201
exhibition hall,31560,31619,231
exhibition hall,31620,31679,273
exhibition hall,31680,31739,301
exhibition hall,31740,31799,337
exhibition hall,31800,31859,363
exhibition hall,31860,31919,395
exhibition hall,31920,31979,436
exhibition hall,31980,32039,469
exhibition hall,32040,32099,507
exhibition hall,32100,32159,540
exhibition hall,32160,32219,576
exhibition hall,32220,32279,614
exhibition hall,32280,32339,644
exhibition hall,32340,32399,689
exhibition hall,32400,32459,736
exhibition hall,32460,32519,672
exhibition hall,32520,32579,545
exhibition hall,32580,32639,398
exhibition hall,32640,32699,262
exhibition hall,32700,32759,130
exhibition hall,32760,32819,46
exhibition hall,32820,32879,39
exhibition hall,32880,32939,36
exhibition hall,32940,32999,36
exhibition hall,33000,33059,36
exhibition hall,33060,33119,36
exhibition hall,33120,33179,37
exhibition hall,33180,33239,37
exhibition hall,33240,33299,37
exhibition hall,33300,33359,38
exhibition hall,33360,33419,38
exhibition hall,33420,33479,38
exhibition hall,33480,33539,38
exhibition hall,33540,33599,38
exhibition hall,33600,33659,38
exhibition hall,33660,33719,38
exhibition hall,33720,33779,38
exhibition hall,33780,33839,38
exhibition hall,33840,33899,39
exhibition hall,33900,33959,41
exhibition hall,33960,34019,41
exhibition hall,34020,34079,41
exhibition hall,34080,34139,43
exhibition hall,34140,34199,43
exhibition hall,34200,34259,46
exhibition hall,34260,34319,43
exhibition hall,34320,34379,42
exhibition hall,34380,34439,42
exhibition hall,34440,34499,43
exhibition hall,34500,34559,44
exhibition hall,34560,34619,44
exhibition hall,34620,34679,46
exhibition hall,34680,34739,49
exhibition hall,34740,34799,52
exhibition hall,34800,34859,58
exhibition hall,34860,34919,66
exhibition hall,34920,34979,74
exhibition hall,34980,35039,84
