id,area_index,category,time,time_end,previous_category
10000,1,main convention,33006,33014,None
10000,2,poster area,38129,38137,main convention
10000,3,sub convention,38219,38235,poster area
10000,4,poster area,40985,40996,sub convention
10002,1,main convention,33005,33030,None
10002,2,poster area,35238,35245,main convention
10002,3,sub convention,35298,39028,poster area
10002,4,poster area,39071,39548,sub convention
10002,5,main convention,39812,39818,poster area
10003,1,main convention,32579,32585,None
10003,2,poster area,38539,38546,main convention
10003,3,sub convention,38594,38631,poster area
10003,4,poster area,40464,40471,sub convention
10003,5,main convention,40663,40668,poster area
10004,1,poster area,31815,31822,None
10004,2,exhibition hall,32135,32408,poster area
10004,3,main convention,32483,32493,exhibition hall
10004,4,poster area,35379,35385,main convention
10004,5,sub convention,35428,35490,poster area
10004,6,poster area,39531,39539,sub convention
10012,1,exhibition hall,32107,32118,None
10012,2,room,37944,37952,exhibition hall
10012,3,main convention,39096,39102,room
10012,4,exhibition hall,41377,41384,main convention
10014,1,main convention,33116,33124,None
10014,2,poster area,38294,38303,main convention
10014,3,sub convention,38394,38437,poster area
10014,4,poster area,40938,40951,sub convention
10014,5,main convention,41941,41952,poster area
10015,1,exhibition hall,32099,32111,None
10015,2,main convention,32742,32761,exhibition hall
10015,3,poster area,34953,34960,main convention
10015,4,sub convention,34986,35020,poster area
10015,5,poster area,36640,37078,sub convention
10015,6,exhibition hall,37305,37312,poster area
10015,7,main convention,39212,39225,exhibition hall
10021,1,exhibition hall,32447,32488,None
10021,2,main convention,35146,35153,exhibition hall
10021,3,poster area,37752,37759,main convention
10021,4,room,38031,38598,poster area
10021,5,rest area,38764,38774,room
10021,6,exhibition hall,41534,41541,rest area
10021,7,main convention,41910,41920,exhibition hall
10022,1,poster area,35084,35092,None
10022,2,main convention,35850,35856,poster area
10022,3,exhibition hall,37821,37830,main convention
10022,4,rest area,40826,40832,exhibition hall
10026,1,exhibition hall,31791,31801,None
10026,2,main convention,32769,32787,exhibition hall
10026,3,exhibition hall,35314,35323,main convention
10026,4,main convention,35444,35452,exhibition hall
10026,5,poster area,38550,38559,main convention
10026,6,sub convention,38637,38706,poster area
10026,7,poster area,40976,40988,sub convention
10027,1,exhibition hall,32344,32354,None
10027,2,main convention,32702,32710,exhibition hall
10027,3,poster area,38355,38364,main convention
10027,4,sub convention,38458,38507,poster area
10027,5,poster area,41069,41086,sub convention
10027,6,exhibition hall,41841,41850,poster area
10027,7,main convention,41962,41975,exhibition hall
10032,1,sub convention,34267,34284,None
10032,2,poster area,40560,40568,sub convention
10033,1,poster area,33629,33636,None
10033,2,sub convention,34200,34206,poster area
10033,3,poster area,40757,40767,sub convention
10037,1,room,32551,41408,None
10041,1,room,33230,33245,None
10045,1,main convention,32578,32586,None
10045,2,poster area,38129,38137,main convention
10045,3,sub convention,38207,38222,poster area
10045,4,poster area,40459,40469,sub convention
10045,5,main convention,40629,40635,poster area
10046,1,room,32554,40938,None
10051,1,exhibition hall,31725,31733,None
10051,2,main convention,32568,32583,exhibition hall
10051,3,sub convention,38371,40668,main convention
10051,4,poster area,40695,40704,sub convention
10051,5,exhibition hall,41632,41639,poster area
10051,6,main convention,41890,41899,exhibition hall
10053,1,exhibition hall,31184,31190,None
10053,2,main convention,32491,32502,exhibition hall
10053,3,poster area,38029,38037,main convention
10053,4,sub convention,38111,40488,poster area
10053,5,poster area,40531,40542,sub convention
10056,1,exhibition hall,31927,31937,None
10056,2,main convention,32674,32682,exhibition hall
10058,1,main convention,32918,32928,None
10058,2,poster area,35147,35154,main convention
10058,3,sub convention,35188,35234,poster area
10058,4,poster area,37793,37800,sub convention
10058,5,main convention,39253,39268,poster area
10077,1,poster area,31667,32408,None
10077,2,main convention,32759,32766,poster area
10077,3,poster area,34940,34946,main convention
10077,4,sub convention,34972,35005,poster area
10077,5,poster area,38838,38847,sub convention
10077,6,main convention,39401,39408,poster area
10077,7,exhibition hall,41321,41328,main convention
10077,8,main convention,41831,41839,exhibition hall
10080,1,poster area,32684,32692,None
10080,2,exhibition hall,33667,33675,poster area
10080,3,poster area,34399,34407,exhibition hall
10080,4,sub convention,34434,34446,poster area
10080,5,poster area,39820,39828,sub convention
10084,1,exhibition hall,32317,32329,None
10084,2,main convention,32718,32736,exhibition hall
10084,3,poster area,35296,35303,main convention
10084,4,sub convention,35349,35408,poster area
10084,5,poster area,37949,37955,sub convention
10084,6,room,37974,37981,poster area
10084,7,main convention,39455,39462,room
10085,1,poster area,31738,31744,None
10085,2,main convention,33281,33288,poster area
10085,3,poster area,34900,34906,main convention
10085,4,sub convention,34931,34961,poster area
10085,5,poster area,35691,35697,sub convention
10088,1,poster area,33719,33729,None
10088,2,sub convention,34248,40848,poster area
10088,3,poster area,40893,40903,sub convention
10090,1,poster area,31910,31918,None
10090,2,room,32696,41138,poster area
10091,1,poster area,34541,34549,None
10091,2,sub convention,34569,34593,poster area
10091,3,poster area,39067,39075,sub convention
10093,1,poster area,32762,32770,None
10093,2,exhibition hall,33511,33518,poster area
10093,3,poster area,34409,34416,exhibition hall
10093,4,sub convention,34455,34469,poster area
10093,5,poster area,40390,40398,sub convention
10101,1,main convention,32847,32868,None
10101,2,room,38174,38185,main convention
10101,3,main convention,39216,39224,room
10109,1,poster area,34209,34217,None
10109,2,sub convention,34277,34292,poster area
10109,3,poster area,39216,39223,sub convention
10111,1,room,40806,40812,None
10111,2,poster area,41091,41468,room
10111,3,room,41496,42718,poster area
10112,1,poster area,33320,33658,None
10112,2,sub convention,34189,34195,poster area
