start_time,end_time,source,target,movement_count
27000,27299,south stairway (1st floor),south stairway (2nd floor),5
27000,27299,south stairway (2nd floor),room 6,4
27300,27599,south stairway (1st floor),south stairway (2nd floor),5
27300,27599,south stairway (2nd floor),room 6,6
27600,27899,south stairway (1st floor),south stairway (2nd floor),4
27600,27899,south stairway (2nd floor),room 6,4
27900,28199,south stairway (1st floor),south stairway (2nd floor),6
27900,28199,south stairway (2nd floor),room 6,3
28200,28499,south stairway (1st floor),south stairway (2nd floor),5
28200,28499,south stairway (2nd floor),room 6,5
28500,28799,south stairway (1st floor),south stairway (2nd floor),4
28500,28799,south stairway (2nd floor),room 6,6
28800,29099,exhibition hall,main convention,1
28800,29099,room 6,north stairway (2nd floor),1
28800,29099,room 6,south stairway (2nd floor),29
28800,29099,south stairway (1st floor),exhibition hall,1
28800,29099,south stairway (1st floor),south stairway (2nd floor),3
28800,29099,south stairway (2nd floor),room 6,4
28800,29099,south stairway (2nd floor),south stairway (1st floor),27
29100,29399,room 6,south stairway (2nd floor),4
29100,29399,south stairway (1st floor),south stairway (2nd floor),2
29100,29399,south stairway (2nd floor),room 6,2
29100,29399,south stairway (2nd floor),south stairway (1st floor),5
30000,30299,south stairway (1st floor),south stairway (2nd floor),2
30000,30299,south stairway (2nd floor),room 6,2
30300,30599,south stairway (1st floor),south stairway (2nd floor),2
30300,30599,south stairway (2nd floor),room 6,2
30600,30899,poster area,toilet 1,1
30600,30899,south stairway (1st floor),south stairway (2nd floor),4
30600,30899,south stairway (2nd floor),room 6,2
30900,31199,poster area,exhibition hall,2
30900,31199,poster area,toilet 1,34
30900,31199,south stairway (1st floor),exhibition hall,1
30900,31199,south stairway (1st floor),south stairway (2nd floor),38
30900,31199,south stairway (2nd floor),room 6,1
30900,31199,south stairway (2nd floor),south stairway (1st floor),1
30900,31199,south stairway (2nd floor),toilet 3,10
30900,31199,toilet 1,exhibition hall,2
30900,31199,toilet 1,poster area,9
30900,31199,toilet 1,south stairway (1st floor),2
30900,31199,toilet 2,exhibition hall,1
30900,31199,toilet 3,south stairway (2nd floor),1
31200,31499,poster area,exhibition hall,8
31200,31499,poster area,south stairway (1st floor),4
31200,31499,poster area,toilet 1,63
31200,31499,room 6,room 5,1
31200,31499,south stairway (1st floor),exhibition hall,10
31200,31499,south stairway (1st floor),poster area,1
31200,31499,south stairway (1st floor),south stairway (2nd floor),49
31200,31499,south stairway (1st floor),toilet 1,1
31200,31499,south stairway (1st floor),toilet 2,1
31200,31499,south stairway (2nd floor),room 6,1
31200,31499,south stairway (2nd floor),south stairway (1st floor),13
31200,31499,south stairway (2nd floor),toilet 3,18
31200,31499,toilet 1,exhibition hall,15
31200,31499,toilet 1,poster area,30
31200,31499,toilet 1,south stairway (1st floor),5
31200,31499,toilet 1,toilet 2,1
31200,31499,toilet 2,exhibition hall,6
31200,31499,toilet 2,poster area,1
31200,31499,toilet 3,south stairway (2nd floor),14
31500,31799,poster area,exhibition hall,9
