id,area_index,category,time,time_end,previous_category
10000,1,poster area,32363,32371,None
10000,2,main convention,33052,33081,poster area
10000,3,room,37916,37924,main convention
10000,4,exhibition hall,39437,39489,room
10000,5,main convention,40003,40034,exhibition hall
10000,6,restaurant,44483,44501,main convention
10000,7,poster area,46844,46858,restaurant
10000,8,exhibition hall,47896,47909,poster area
10000,9,poster area,50870,50884,exhibition hall
10000,10,sub convention,50959,56178,poster area
10000,11,poster area,56186,56192,sub convention
10000,12,rest area,56525,56531,poster area
10000,13,room,59999,60054,rest area
10000,14,poster area,61276,61283,room
10002,1,main convention,33031,33061,None
10002,2,poster area,35402,35408,main convention
10002,3,main convention,35593,35599,poster area
10002,4,room,38116,38139,main convention
10002,5,exhibition hall,38853,39038,room
10002,6,main convention,39097,39106,exhibition hall
10002,7,restaurant,44287,44301,main convention
10002,8,rest area,45070,48128,restaurant
10002,9,poster area,48502,48510,rest area
10002,10,exhibition hall,49444,49458,poster area
10002,11,poster area,50689,50702,exhibition hall
10002,12,sub convention,50736,50746,poster area
10002,13,poster area,55982,55988,sub convention
10002,14,sub convention,56088,56103,poster area
10002,15,poster area,58234,58249,sub convention
10002,16,exhibition hall,58408,58418,poster area
10002,17,room,59762,59808,exhibition hall
10002,18,poster area,61048,61338,room
10002,19,rest area,61562,61573,poster area
10003,1,main convention,33030,33059,None
10003,2,restaurant,44853,44882,main convention
10003,3,poster area,46189,46200,restaurant
10003,4,rest area,47448,52308,poster area
10003,5,poster area,52846,52852,rest area
10003,6,sub convention,52867,57158,poster area
10003,7,poster area,57186,57201,sub convention
10003,8,rest area,58075,58100,poster area
10003,9,room,60204,60291,rest area
10004,1,main convention,33341,33370,None
10004,2,exhibition hall,38243,38255,main convention
10004,3,main convention,39189,39200,exhibition hall
10004,4,restaurant,44313,44329,main convention
10004,5,rest area,45252,45263,restaurant
10004,6,poster area,50764,50772,rest area
10004,7,sub convention,50801,50813,poster area
10004,8,poster area,56695,56705,sub convention
10004,9,rest area,57086,57096,poster area
10004,10,room,60010,60068,rest area
10004,11,poster area,60864,60871,room
10005,1,restaurant,63307,63318,None
10012,1,exhibition hall,31378,32378,None
10012,2,main convention,32930,32955,exhibition hall
10012,3,exhibition hall,38818,39068,main convention
10012,4,main convention,39361,39370,exhibition hall
10012,5,restaurant,45020,49808,main convention
10012,6,poster area,50866,50881,restaurant
10012,7,sub convention,50934,50954,poster area
10012,8,poster area,55718,55724,sub convention
10012,9,sub convention,55788,55801,poster area
10012,10,poster area,58135,58149,sub convention
10012,11,rest area,59483,59703,poster area
10012,12,room,60288,61838,rest area
10014,1,exhibition hall,32351,32366,None
10014,2,main convention,32940,32966,exhibition hall
10014,3,room,38196,38246,main convention
10014,4,main convention,40031,40042,room
10014,5,restaurant,45261,45313,main convention
10014,6,rest area,46973,47006,restaurant
10014,7,exhibition hall,50356,50377,rest area
10014,8,poster area,50619,50633,exhibition hall
10014,9,sub convention,50651,57268,poster area
10014,10,poster area,57988,57998,sub convention
10014,11,rest area,58991,59041,poster area
10014,12,sub convention,59761,62498,rest area
10014,13,poster area,62530,62540,sub convention
10015,1,main convention,32581,32594,None
10015,2,poster area,38689,39018,main convention
10015,3,main convention,39262,39278,poster area
10015,4,restaurant,45190,45235,main convention
10015,5,exhibition hall,48642,48655,restaurant
10015,6,poster area,50596,50604,exhibition hall
10015,7,sub convention,50626,50656,poster area
10015,8,poster area,56609,56623,sub convention
10015,9,sub convention,56812,56834,poster area
10015,10,poster area,58539,58549,sub convention
10015,11,rest area,59198,59245,poster area
10015,12,poster area,59944,59952,rest area
10015,13,sub convention,59970,62388,poster area
10018,1,main convention,32796,32817,None
10018,2,room,38044,38065,main convention
10018,3,exhibition hall,38807,38838,room
10018,4,main convention,39361,39382,exhibition hall
10018,5,restaurant,44756,44778,main convention
10018,6,rest area,46089,46115,restaurant
10018,7,poster area,50653,51398,rest area
10018,8,sub convention,51430,51482,poster area
10018,9,poster area,56882,56895,sub convention
10018,10,rest area,57915,57940,poster area
10018,11,room,60298,61218,rest area
10018,12,rest area,61476,61486,room
10019,1,room,31783,31803,None
10019,2,poster area,32475,32483,room
10019,3,main convention,32646,32652,poster area
10019,4,poster area,36240,36246,main convention
10019,5,room,36268,36274,poster area
10019,6,restaurant,43433,43448,room
10019,7,main convention,45236,45242,restaurant
10019,8,exhibition hall,47186,47200,main convention
10019,9,room,49842,49879,exhibition hall
10019,10,poster area,55254,55262,room
10019,11,sub convention,55295,55307,poster area
10019,12,poster area,58054,58628,sub convention
10019,13,room,58884,58912,poster area
10019,14,restaurant,63343,63354,room
10021,1,exhibition hall,32309,32322,None
10021,2,main convention,32924,32948,exhibition hall
10021,3,exhibition hall,38666,38689,main convention
10021,4,main convention,39388,39410,exhibition hall
10022,1,exhibition hall,32429,32443,None
10022,2,main convention,32981,33008,exhibition hall
10022,3,restaurant,44915,45648,main convention
10022,4,rest area,46079,46105,restaurant
10022,5,exhibition hall,48578,48590,rest area
10022,6,poster area,50821,50830,exhibition hall
10022,7,sub convention,50861,55708,poster area
10022,8,poster area,55718,55726,sub convention
10022,9,rest area,56628,56636,poster area
10022,10,poster area,59401,59409,rest area
10022,11,sub convention,59459,62208,poster area
10022,12,poster area,62225,62232,sub convention
10023,1,exhibition hall,47177,47188,None
10026,1,exhibition hall,31741,31752,None
10026,2,main convention,32521,32530,exhibition hall
10027,1,main convention,33164,33195,None
10027,2,rest area,38557,39038,main convention
10027,3,main convention,39642,39669,rest area
10027,4,restaurant,44945,44981,main convention
10027,5,rest area,46432,46465,restaurant
10027,6,exhibition hall,49933,49950,rest area
10027,7,sub convention,50542,50555,exhibition hall
10027,8,poster area,56298,56306,sub convention
10027,9,rest area,57502,57521,poster area
10027,10,room,60046,60122,rest area
10027,11,poster area,61489,61498,room
10027,12,sub convention,61515,61533,poster area
10027,13,poster area,62554,62564,sub convention
10032,1,poster area,50568,50580,None
10032,2,sub convention,50596,56988,poster area
10032,3,poster area,57021,57029,sub convention
10032,4,room,59461,62378,poster area
10032,5,poster area,62517,62525,room
10037,1,room,32599,32607,None
10037,2,restaurant,43350,43363,room
10037,3,room,44465,44475,restaurant
10041,1,poster area,32449,32455,None
10041,2,room,32758,32769,poster area
10041,3,restaurant,43352,43361,room
10041,4,room,44529,44542,restaurant
10043,1,poster area,47028,47040,None
10045,1,poster area,32342,32349,None
10045,2,main convention,32785,32793,poster area
10045,3,exhibition hall,38867,38888,main convention
10045,4,main convention,39663,39689,exhibition hall
10045,5,restaurant,45122,45152,main convention
10045,6,rest area,46093,46120,restaurant
10045,7,poster area,51874,51880,rest area
10045,8,sub convention,51907,51929,poster area
10045,9,poster area,56100,56107,sub convention
10045,10,sub convention,57043,57069,poster area
10045,11,poster area,58395,58406,sub convention
10045,12,exhibition hall,60443,60449,poster area
10046,1,room,32942,32955,None
10046,2,restaurant,43305,43315,room
10046,3,rest area,50843,50854,restaurant
10046,4,room,50957,59398,rest area
10049,1,exhibition hall,32103,32117,None
10049,2,main convention,32578,32584,exhibition hall
10049,3,room,38120,38144,main convention
10049,4,rest area,39019,39033,room
10049,5,main convention,39616,39624,rest area
10049,6,restaurant,44963,44990,main convention
10049,7,rest area,45944,45973,restaurant
10049,8,exhibition hall,49166,49177,rest area
10049,9,poster area,50864,50872,exhibition hall
10049,10,sub convention,50937,56198,poster area
10049,11,poster area,56212,56222,sub convention
10049,12,rest area,59035,59082,poster area
10049,13,poster area,60036,60044,rest area
10049,14,sub convention,60062,60079,poster area
10049,15,poster area,62581,62592,sub convention
10050,1,poster area,46098,46608,None
10051,1,main convention,33171,33203,None
10051,2,room,37952,37961,main convention
10051,3,exhibition hall,38422,38437,room
10051,4,main convention,39177,39189,exhibition hall
10051,5,restaurant,45178,45208,main convention
10051,6,rest area,45908,45933,restaurant
10051,7,exhibition hall,49307,49321,rest area
10051,8,poster area,50948,50964,exhibition hall
10051,9,sub convention,50980,51006,poster area
10051,10,poster area,57407,57422,sub convention
10051,11,rest area,58484,59398,poster area
10051,12,room,59608,60228,rest area
10051,13,poster area,60251,60257,room
10051,14,sub convention,60278,62488,poster area
10051,15,poster area,62500,62510,sub convention
10053,1,main convention,33394,33420,None
10053,2,poster area,39389,39395,main convention
10053,3,main convention,39847,39875,poster area
10053,4,restaurant,45009,45044,main convention
10053,5,rest area,45630,45649,restaurant
10053,6,poster area,50684,50697,rest area
10053,7,sub convention,50730,56278,poster area
10053,8,poster area,56304,56311,sub convention
10053,9,rest area,56982,56991,poster area
10053,10,room,59985,60056,rest area
10056,1,main convention,33068,33079,None
10056,2,poster area,39346,39352,main convention
10056,3,main convention,39989,40022,poster area
10056,4,poster area,45345,45351,main convention
10056,5,rest area,46619,46654,poster area
10056,6,poster area,50679,50692,rest area
10056,7,sub convention,50765,50809,poster area
