area,floor,px,py,start_time,end_time,visitor_count
exhibition hall,1,15,4,30600,30899,1
exhibition hall,1,15,4,30900,31199,3
exhibition hall,1,15,4,31200,31499,16
exhibition hall,1,15,4,31500,31799,13
exhibition hall,1,15,4,31800,32099,21
exhibition hall,1,15,4,32100,32399,20
exhibition hall,1,15,4,32400,32699,28
exhibition hall,1,15,4,32700,32999,1
exhibition hall,1,15,4,33000,33299,7
exhibition hall,1,15,4,33300,33599,9
exhibition hall,1,15,4,33600,33899,9
exhibition hall,1,15,4,33900,34199,22
exhibition hall,1,15,4,34200,34499,19
exhibition hall,1,15,4,34500,34799,2
exhibition hall,1,15,4,34800,35099,6
exhibition hall,1,15,4,35100,35399,8
exhibition hall,1,15,4,35400,35699,3
exhibition hall,1,15,4,35700,35999,1
exhibition hall,1,15,4,36000,36299,2
exhibition hall,1,15,4,36600,36899,2
exhibition hall,1,15,4,36900,37199,1
exhibition hall,1,15,4,37200,37499,5
exhibition hall,1,15,4,37500,37799,9
exhibition hall,1,15,4,37800,38099,4
exhibition hall,1,15,4,38100,38399,3
exhibition hall,1,15,4,38400,38699,5
exhibition hall,1,15,4,38700,38999,3
exhibition hall,1,15,4,39000,39299,3
exhibition hall,1,15,4,39300,39599,2
exhibition hall,1,15,4,39600,39899,1
exhibition hall,1,15,4,39900,40199,2
exhibition hall,1,15,4,40200,40499,1
exhibition hall,1,15,4,40500,40799,2
exhibition hall,1,15,4,40800,41099,2
exhibition hall,1,15,4,41100,41399,2
exhibition hall,1,15,4,41400,41699,3
exhibition hall,1,15,4,41700,41999,9
exhibition hall,1,15,4,42000,42299,4
exhibition hall,1,15,4,42300,42599,3
exhibition hall,1,15,4,42600,42899,5
exhibition hall,1,15,4,42900,43199,3
exhibition hall,1,15,4,43200,43499,4
exhibition hall,1,15,5,30600,30899,1
exhibition hall,1,15,5,30900,31199,19
exhibition hall,1,15,5,31200,31499,45
exhibition hall,1,15,5,31500,31799,54
exhibition hall,1,15,5,31800,32099,63
exhibition hall,1,15,5,32100,32399,55
exhibition hall,1,15,5,32400,32699,48
exhibition hall,1,15,5,32700,32999,6
exhibition hall,1,15,5,33000,33299,12
exhibition hall,1,15,5,33300,33599,14
exhibition hall,1,15,5,33600,33899,23
exhibition hall,1,15,5,33900,34199,28
exhibition hall,1,15,5,34200,34499,43
exhibition hall,1,15,5,34500,34799,10
exhibition hall,1,15,5,34800,35099,10
exhibition hall,1,15,5,35100,35399,12
exhibition hall,1,15,5,35400,35699,10
exhibition hall,1,15,5,35700,35999,9
exhibition hall,1,15,5,36000,36299,13
exhibition hall,1,15,5,36300,36599,6
exhibition hall,1,15,5,36600,36899,6
exhibition hall,1,15,5,36900,37199,3
exhibition hall,1,15,5,37200,37499,9
exhibition hall,1,15,5,37500,37799,12
exhibition hall,1,15,5,37800,38099,16
exhibition hall,1,15,5,38100,38399,13
exhibition hall,1,15,5,38400,38699,13
exhibition hall,1,15,5,38700,38999,19
exhibition hall,1,15,5,39000,39299,16
